"","case_number","cmte_id","cmte_name","report_type","report_year","fine_amount","office","state","district","cand_name","late_filed_not_filed","paid_yes_no","line_image","end_line_image","timestamp"
"570",652,"C00371724","CAMPBELL FOR CONGRESS 2002","Q2",2002,550,"H","ME",2,"CAMPBELL, RICHARD H","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543161+0","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543196+0","26-AUG-18"
"571",653,"C00269506","BARCIA FOR CONGRESS","Q2",2002,1725,"H","MI",5,"BARCIA, JAMES A","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543538+0","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543544+0","26-AUG-18"
"572",654,"C00377762","COMMITTEE TO ELECT CATHY RINEHART","Q2",2002,0,"H","MO",6,"RINEHART, CATHY","L","N","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543597+0","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543603+0","26-AUG-18"
"573",655,"C00373183","AKRAM FOR CONGRESS INC","Q2",2002,650,"H","NJ",5,"YOSRI, AKRAM","L","N","http://docquery.fec.gov/cgi-bin/fecimg/?_23092544036+0","http://docquery.fec.gov/cgi-bin/fecimg/?_23092544041+0","26-AUG-18"
"574",656,"C00148429","BORSKI FOR CONGRESS COMMITTEE","Q2",2002,975,"H","PA",13,"BORSKI, ROBERT A","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543161+0","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543194+0","26-AUG-18"
"575",657,"C00368548","REPUBLICANS FOR PHIL BRADLEY","Q2",2002,1850,"H","SC",4,"BRADLEY, PHILIP T","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543066+0","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543072+0","26-AUG-18"
"576",658,"C00347708","PHIL SUDAN FOR CONGRESS","Q2",2002,500,"H","TX",5,"SUDAN,  PHIL","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543161+0","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543196+0","26-AUG-18"
"577",659,"C00346163","KEYES 2000 INC","Q2",2002,900,"P","US",0,"KEYES, ALAN L","N","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543423+0","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543432+0","26-AUG-18"
"578",660,"C00374637","JIM BAKER FOR CONGRESS","Q2",2002,2700,"H","AR",2,"BAKER, JIM","N","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_24092553061+0","http://docquery.fec.gov/cgi-bin/fecimg/?_24092553141+0","26-AUG-18"
"579",661,"C00368852","BRIGGS FOR CONGRESS","Q2",2002,900,"H","CA",21,"BRIGGS, MIKE EARL","N","N","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543433+0","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543439+0","26-AUG-18"
"580",662,"C00371419","STUART JOHNSON FOR CONGRESS","Q2",2002,2700,"H","CA",36,"JOHNSON, SHELBIN V STUART","N","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_23092544236+0","http://docquery.fec.gov/cgi-bin/fecimg/?_23092544242+0","26-AUG-18"
"581",663,"C00373258","COMMITTEE TO ELECT HELEN RAHDER","Q2",2002,900,"H","CA",39,"RAHDER, HELEN MCKENNA","N","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543365+0","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543372+0","26-AUG-18"
"582",664,"C00372813","MARK BAISLEY FOR CONGRESS","Q2",2002,5500,"H","CO",7,"BAISLEY, MARK","N","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543552+0","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543561+0","26-AUG-18"
"583",665,"C00364265","JIM SULLIVAN FOR CONGRESS","Q2",2002,2700,"H","CT",2,"SULLIVAN, JAMES M","N","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543004+0","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543009+0","26-AUG-18"
"584",666,"C00366245","MCCOY FOR CONGRESS","Q2",2002,900,"H","IA",4,"MCCOY, MATT","N","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543197+0","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543206+0","26-AUG-18"
"585",667,"C00367953","JOE SLOVINEC FOR CONGRESS CAMPAIGN COMMITTEE","Q2",2002,1800,"H","IL",5,"SLOVINEC, JOSEPH GEORGE","N","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_25092570363+0","http://docquery.fec.gov/cgi-bin/fecimg/?_25092570418+0","26-AUG-18"
"586",668,"C00371765","JAY BLOSSMAN FOR US SENATE","Q2",2002,3500,"S","LA",0,"BLOSSMAN, JACK A JR","N","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_23092544012+0","http://docquery.fec.gov/cgi-bin/fecimg/?_23092544018+0","26-AUG-18"
"587",669,"C00373449","MONTANA FOR JOHNSON","Q2",2002,900,"S","MT",0,"JOHNSON, BRADLEY S","N","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543440+0","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543446+0","26-AUG-18"
"588",670,"C00376368","ROSS FOR CONGRESS","Q2",2002,5500,"H","NJ",7,"ROSS, TYRONE CASS","N","N","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543073+0","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543079+0","26-AUG-18"
"589",671,"C00371500","DAN HAGOOD FOR CONGRESS, INC.","Q2",2002,8000,"H","TX",5,"HAGOOD, DANIEL K","N","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543161+0","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543196+0","26-AUG-18"
"590",672,"C00371401","DUB MAINES FOR CONGRESS","Q2",2002,2700,"H","TX",11,"MAINES, JAMES DARRELL JR","N","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543080+0","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543086+0","26-AUG-18"
"591",673,"C00374314","FRIENDS OF BOB GROSS COMMIITTEE","Q2",2002,2700,"H","UT",1,"GROSS, ROBERT CRAIG","N","N","http://docquery.fec.gov/cgi-bin/fecimg/?_24092552845+0","http://docquery.fec.gov/cgi-bin/fecimg/?_24092552851+0","26-AUG-18"
"592",674,"C00371849","HISPANIC DEMOCRATIC ORGANIZATION (HDO) FEDERAL PAC","Q2",2002,500,"","",NA,"","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543161+0","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543196+0","26-AUG-18"
"593",675,"C00357905","LOUISIANA SHERIFFS AND DEPUTIES POLITICAL ACTION COMMITTEE","Q2",2002,850,"","",NA,"","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543094+0","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543099+0","26-AUG-18"
"594",676,"C00364422","ECONOMIC LIBERTY PAC, INC.","Q2",2002,350,"","",NA,"","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543161+0","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543196+0","26-AUG-18"
"595",677,"C00143164","ONEAMERICA FINANCIAL PARTNERS, INC. PAC","Q2",2002,350,"","",NA,"","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543154+0","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543160+0","26-AUG-18"
"596",678,"C00187526","CITYPAC","Q2",2002,550,"","",NA,"","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543447+0","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543454+0","26-AUG-18"
"597",679,"C00195362","COHEN & GRIGSBY, P.C., POLITICAL ACTION COMMITTEE","Q2",2002,350,"","",NA,"","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543455+0","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543462+0","26-AUG-18"
"598",680,"C00106740","AMERICAS HEALTH INSURANCE PLANS PAC (AHIP PAC)","Q2",2002,1100,"","",NA,"","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543161+0","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543196+0","26-AUG-18"
"599",681,"C00082636","INDIANA DENTAL PAC","Q2",2002,1000,"","",NA,"","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543161+0","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543196+0","26-AUG-18"
"600",682,"C00007898","OFFICE AND PROFESSIONAL EMPLOYEES INTERNATIONAL UNION (OPEIU) JB MOSS VOICE OF THE ELECTORATE (VOTE)","Q2",2002,1650,"","",NA,"","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543161+0","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543196+0","26-AUG-18"
"601",683,"C00023754","POLITICAL ACTION COUNCIL OF EDUCATORS(UNITED TEACHERS-LOS ANGELES)","Q2",2002,343.75,"","",NA,"","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543327+0","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543333+0","26-AUG-18"
"602",684,"C00178541","TEAMSTERS JOINT COUNCIL 53 POLITICAL ACTION COMMITTEE","Q2",2002,650,"","",NA,"","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543161+0","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543196+0","26-AUG-18"
"603",685,"C00161422","TECO ENERGY INC EMPLOYEES' PAC","Q2",2002,1000,"","",NA,"","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543161+0","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543196+0","26-AUG-18"
"604",686,"C00278283","CHRISTIAN VOTER PROJECT","Q2",2002,350,"","",NA,"","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543161+0","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543196+0","26-AUG-18"
"605",687,"C00320218","UNITED ASSOCIATION OF JOURNEYMEN & APPRENTICES OF THE U.S. & CANADA LOCAL 447 FEDERAL PAC","Q2",2002,350,"","",NA,"","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543161+0","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543196+0","26-AUG-18"
"606",688,"C00321943","DEMOCRATIC PARTY OF ORANGE COUNTY FED PAC","Q2",2002,900,"","",NA,"","N","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543161+0","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543196+0","26-AUG-18"
"607",689,"C00359661","GREEN-RAINBOW PARTY FEDERAL FUND","Q2",2002,550,"","",NA,"","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543637+0","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543643+0","26-AUG-18"
"608",690,"C00034033","SOUTH CAROLINA REPUBLICAN PARTY","Q2",2002,1500,"","",NA,"","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543161+0","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543196+0","26-AUG-18"
"609",691,"C00355388","NATIONAL ITALIAN AMERICAN POLITICAL ACTION COMMITTEE","Q2",2002,2700,"","",NA,"","N","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543087+0","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543093+0","26-AUG-18"
"610",692,"C00363846","SALT PAC","Q2",2002,3500,"","",NA,"","N","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543463+0","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543468+0","26-AUG-18"
"611",693,"C00283101","AMERICAN AIDS POLITICAL ACTION COMMITTEE","Q2",2002,1800,"","",NA,"","N","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543299+0","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543310+0","26-AUG-18"
"612",694,"C00012328","FLORIDA SUGAR CANE LEAGUE PAC","Q2",2002,5625,"","",NA,"","N","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543161+0","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543196+0","26-AUG-18"
"613",695,"C00078196","RHODE ISLAND REPUBLICAN STATE CENTRAL COMMITTEE","Q2",2002,3500,"","",NA,"","N","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543161+0","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543196+0","26-AUG-18"
"614",696,"C00147975","KIDSPAC","M7",2002,675,"","",NA,"","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543237+0","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543243+0","26-AUG-18"
"615",697,"C00347385","LEVEL 3 COMMUNICATIONS INC. POLITICAL ACTION COMMITTEE","M7",2002,700,"","",NA,"","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543237+0","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543243+0","26-AUG-18"
"616",698,"C00317842","KILPATRICK FOR UNITED STATES CONGRESS","12P",2002,300,"H","MI",13,"KILPATRICK, CAROLYN MS.","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543244+0","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543250+0","26-AUG-18"
"617",699,"C00377762","COMMITTEE TO ELECT CATHY RINEHART","12P",2002,0,"H","MO",6,"RINEHART, CATHY","L","N","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543597+0","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543603+0","26-AUG-18"
"618",700,"C00374165","RACZKOWSKI FOR SENATE","12P",2002,6000,"S","MI",0,"RACZKOWSKI, ANDREW EDWARD","N","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543059+0","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543065+0","26-AUG-18"
"619",701,"C00141747","FRIENDS OF ISRAEL POLITICAL ACTION COMMITTEE - FIPAC","M8",2002,375,"","",NA,"","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543225+0","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543236+0","26-AUG-18"
"620",702,"C00282038","SONY PICTURES ENTERTAINMENT, INC. PAC","M8",2002,343.75,"","",NA,"","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543225+0","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543236+0","26-AUG-18"
"621",703,"C00029348","AMERICAN FOREST & PAPER ASSOCIATION POLITICAL ACTION COMMITTEE","M8",2002,0,"","",NA,"","N","N","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543590+0","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543596+0","26-AUG-18"
"622",704,"C00368118","SKORSKI FOR CONGRESS","12P",2002,0,"H","NY",4,"SKORSKI, ALAN","N","N","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543380+0","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543385+0","26-AUG-18"
"623",705,"C00320754","DONNA CHRISTENSEN CAMPAIGN","12P",2002,1000,"H","VI",0,"CHRISTENSEN, DONNA M","N","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543219+0","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543224+0","26-AUG-18"
"624",706,"C00351197","AMERICAN SOCIETY OF INTERVENTIONAL PAIN PHYSICIAN PAC","M9",2002,250,"","",NA,"","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543207+0","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543218+0","26-AUG-18"
"625",707,"C00356345","E*TRADE FINANCIAL CORPORATION PAC","M9",2002,750,"","",NA,"","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543604+0","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543610+0","26-AUG-18"
"626",708,"C00164392","RIGHT TO WORK POLITICAL ACTION COMMITTEE","M9",2002,525,"","",NA,"","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543207+0","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543218+0","26-AUG-18"
"627",709,"C00029348","AMERICAN FOREST & PAPER ASSOCIATION POLITICAL ACTION COMMITTEE","M9",2002,0,"","",NA,"","N","N","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543590+0","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543596+0","26-AUG-18"
"628",710,"C00368845","DELAY FOR CONGRESS","MY",2002,275,"H","AR",3,"DELAY, ROBERT GUNNER","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543854+0","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543861+0","26-AUG-18"
"629",711,"C00349795","GORMLEY FOR SENATE PRIMARY ELECTION FUND","MY",2002,0,"S","NJ",0,"GORMLEY, WILLIAM L","L","N","http://docquery.fec.gov/cgi-bin/fecimg/?_23092542985+0","http://docquery.fec.gov/cgi-bin/fecimg/?_23092542990+0","26-AUG-18"
"630",712,"C00364661","PHILIP LOWE FOR CONGRESS","MY",2002,11875,"H","CA",32,"LOWE, PHILIP A","N","N","http://docquery.fec.gov/cgi-bin/fecimg/?_23092544042+0","http://docquery.fec.gov/cgi-bin/fecimg/?_23092544051+0","26-AUG-18"
"631",713,"C00353862","GIORDANO FOR UNITED STATES SENATE","MY",2002,0,"S","CT",0,"GIORDANO, PHILIP A","N","N","http://docquery.fec.gov/cgi-bin/fecimg/?_23092544007+0","http://docquery.fec.gov/cgi-bin/fecimg/?_23092544011+0","26-AUG-18"
"632",714,"C00358168","BOB CONDON FOR CONGRESS","MY",2002,52,"H","FL",1,"CONDON, BOB","N","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543476+0","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543482+0","26-AUG-18"
"633",715,"C00367508","JOHN TAYLOR FOR CONGRESS","MY",2002,1125,"H","MA",9,"TAYLOR, JOHN EMMETT","N","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_23092544243+0","http://docquery.fec.gov/cgi-bin/fecimg/?_23092544253+0","26-AUG-18"
"634",716,"C00368100","LAWRENCE R WIESNER FOR CONGRESS COMMITTEE","Q3",2002,300,"H","CA",1,"WIESNER, LAWRENCE R","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543611+0","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543636+0","26-AUG-18"
"635",717,"C00266940","SANFORD BISHOP FOR CONGRESS","Q3",2002,2025,"H","GA",2,"BISHOP, SANFORD D","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_23092544066+0","http://docquery.fec.gov/cgi-bin/fecimg/?_23092544072+0","26-AUG-18"
"636",718,"C00376699","DROBAC FOR CONGRESS","Q3",2002,950,"H","PA",4,"DROBAC, STEVAN MR. JR.","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543483+0","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543503+0","26-AUG-18"
"637",719,"C00379073","HORNBERGER FOR SENATE","Q3",2002,650,"S","VA",0,"HORNBERGER, JACOB G JR","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543483+0","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543503+0","26-AUG-18"
"638",720,"C00371955","RON DAUGHERTY FOR CONGRESS","Q3",2002,0,"H","NC",10,"DAUGHERTY, RONALD TYLER","N","N","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543531+0","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543537+0","26-AUG-18"
"639",721,"C00320754","DONNA CHRISTENSEN CAMPAIGN","Q3",2002,1000,"H","VI",0,"CHRISTENSEN, DONNA M","N","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543483+0","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543503+0","26-AUG-18"
"640",722,"C00325936","SOCIETY OF THORACIC SURGEONS POLITICAL ACTION COMMITTEE","Q3",2002,1187.5,"","",NA,"","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543504+0","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543523+0","26-AUG-18"
"641",723,"C00362632","SWING STATES FOR A CONSERVATIVE WHITE HOUSE PAC INC","Q3",2002,1500,"","",NA,"","L","N","http://docquery.fec.gov/cgi-bin/fecimg/?_24092544952+0","http://docquery.fec.gov/cgi-bin/fecimg/?_24092544957+0","26-AUG-18"
"642",724,"C00125534","COMPOSITION ROOFERS LOCAL UNION #30 POLITICAL ACTION & EDUCATION FUND","Q3",2002,600,"","",NA,"","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543483+0","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543503+0","26-AUG-18"
"643",725,"C00115832","INDIANA BANKERS ASSOCIATION INDIANA BANKPAC - FEDERAL","Q3",2002,600,"","",NA,"","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543483+0","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543503+0","26-AUG-18"
"644",726,"C00040949","BOILERMAKERS BLACKSMITHS FORGERS AND HELPERS OF AMERICA LOCAL 169 BOILERMAKERS PAC","Q3",2002,450,"","",NA,"","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543483+0","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543503+0","26-AUG-18"
"645",727,"C00349035","IUPAT MEMBER AND FAMILY FUNDRAISING PC ACCOUNT","Q3",2002,650,"","",NA,"","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543611+0","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543636+0","26-AUG-18"
"646",728,"C00225573","OPERATING ENGINEERS LOCAL # 649 POLITICAL ACTION COMMITTEE","Q3",2002,2000,"","",NA,"","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543644+0","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543650+0","26-AUG-18"
"647",729,"C00277152","ROGERS GROUP INC. POLITICAL ACTION COMMITTEE","Q3",2002,1050,"","",NA,"","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543651+0","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543657+0","26-AUG-18"
"648",730,"C00161422","TECO ENERGY INC EMPLOYEES' PAC","Q3",2002,1100,"","",NA,"","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543611+0","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543636+0","26-AUG-18"
"649",731,"C00232835","PLUMBERS & PIPEFITTERS LOCAL #333 FEDERAL PAC FUND","Q3",2002,1100,"","",NA,"","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_23092544862+0","http://docquery.fec.gov/cgi-bin/fecimg/?_23092544868+0","26-AUG-18"
"650",732,"C00379081","RALLY FOR LEADERSHIP FUND, THE","Q3",2002,1900,"S","MN",0,"COLEMAN, NORM","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_23092544059+0","http://docquery.fec.gov/cgi-bin/fecimg/?_23092544065+0","26-AUG-18"
"651",733,"C00100644","RIVERSIDE COUNTY REPUBLICAN CENTRAL COMMITTEE (FED)","Q3",2002,0,"","",NA,"","L","N","http://docquery.fec.gov/cgi-bin/fecimg/?_23092544919+0","http://docquery.fec.gov/cgi-bin/fecimg/?_23092544924+0","26-AUG-18"
"652",734,"C00355388","NATIONAL ITALIAN AMERICAN POLITICAL ACTION COMMITTEE","Q3",2002,3500,"","",NA,"","N","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543611+0","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543636+0","26-AUG-18"
"653",735,"C00364422","ECONOMIC LIBERTY PAC, INC.","Q3",2002,2500,"","",NA,"","N","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543483+0","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543503+0","26-AUG-18"
"654",736,"C00034785","ACPAC ACA INTERNATIONAL POLITICAL ACTION COMMITTEE","Q3",2002,3000,"","",NA,"","N","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_24092544958+0","http://docquery.fec.gov/cgi-bin/fecimg/?_24092544965+0","26-AUG-18"
"655",737,"C00204388","BI-COUNTY POLITICAL ACTION COMMITTEE","Q3",2002,2000,"","",NA,"","N","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543140+0","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543146+0","26-AUG-18"
"656",738,"C00084871","CELANESE CORPORATION POLITICAL ACTION COMMITTEE","Q3",2002,1000,"","",NA,"","N","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543483+0","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543503+0","26-AUG-18"
"657",739,"C00010363","CONSERVATIVE LEADERSHIP POLITICAL ACTION COMMITTEE","Q3",2002,1500,"","",NA,"","N","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543483+0","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543503+0","26-AUG-18"
"658",740,"C00018945","DORSEY NATIONAL FUND","Q3",2002,2500,"","",NA,"","N","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_23092544912+0","http://docquery.fec.gov/cgi-bin/fecimg/?_23092544918+0","26-AUG-18"
"659",741,"C00339481","ELECT LIFE","Q3",2002,0,"","",NA,"","N","N","http://docquery.fec.gov/cgi-bin/fecimg/?_23092544007+0","http://docquery.fec.gov/cgi-bin/fecimg/?_23092544011+0","26-AUG-18"
"660",742,"C00012328","FLORIDA SUGAR CANE LEAGUE PAC","Q3",2002,1500,"","",NA,"","N","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543483+0","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543503+0","26-AUG-18"
"661",743,"C00164509","INT'L FED. OF PROFESSIONAL AND TECHNICAL ENGINEERS LEG. EDU. ACTION PROGRAM - PAC","Q3",2002,2000,"","",NA,"","N","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543483+0","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543503+0","26-AUG-18"
"662",744,"C00165944","MID MANHATTAN POLITICAL ACTION COMMITTEE (MID PAC)","Q3",2002,2000,"","",NA,"","N","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_23092544052+0","http://docquery.fec.gov/cgi-bin/fecimg/?_23092544058+0","26-AUG-18"
"663",745,"C00079681","NATIONAL PROPANE GAS ASSOCIATION POLITICAL ACTION COMMITTEE","Q3",2002,2000,"","",NA,"","N","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543562+0","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543582+0","26-AUG-18"
"664",746,"C00024422","SUPPORTERS OF ENGINEERS LOCAL 3 ENDORSED CANDIDATES","Q3",2002,1000,"","",NA,"","N","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543483+0","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543503+0","26-AUG-18"
"665",747,"C00321943","DEMOCRATIC PARTY OF ORANGE COUNTY FED PAC","Q3",2002,4000,"","",NA,"","N","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543835+0","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543841+0","26-AUG-18"
"666",748,"C00280941","11TH DISTRICT DEMOCRATIC COMMITTEE","Q3",2002,2000,"","",NA,"","N","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543827+0","http://docquery.fec.gov/cgi-bin/fecimg/?_23092543834+0","26-AUG-18"
"667",749,"C00270868","BEXAR COUNTY DEMOCRATIC PARTY","Q3",2002,5000,"","",NA,"","N","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_24092544966+0","http://docquery.fec.gov/cgi-bin/fecimg/?_24092544972+0","26-AUG-18"
